Comment,User Profile Link,Stars
"One of the terrible experiences with this company. I took a forever young pension plan with this company and was told that after paying premiums for the lock in period of 5 years I could withdraw my amount if there was a necessity or retirement. Unfortunately the nightmare starts when you try to stop the policy and claim back your money, they have plenty of clauses to deprive you of your own hard earned money when you require it the most. they offered me 60% of my money and they want me to deposit the remaining 40% on another of their sham income plan where they defer my benefit payment for a year and then they pay me less than a bank deposit rates and that too with a clause that I cannot surrender this policy without losing 25% of the deposited money. I am forced to take this scheme to get back 60% of my own money and when I wasn't interested in any of their schemes or life insurance plans. The entire scheme is just a sham and just a ploy to prey on peoples deposits. My recommendation is for people to stay away from the sweet talking and unscrupulous - false promises when they are selling the policy and invest their hard earned money wisely into a reliable mutual fund or safer in to a Bank FD.",https://www.mouthshut.com/drcanand,1
When I cancel policy with in one month of period (free cancellation look-up peri,https://www.mouthshut.com/mitnalanarendra,1
Never everything think of taking policy form max life insurance they Just care for their money they direct debit the amount without customer consent after informing several times that we don't want to continue with the policy no proper follow ups for the queries raised and without talking with the customer they close the ticket and says query resolved..they do not approve your request of cancelling auto debits after several follow ups so think before buying max life insurance.,https://www.mouthshut.com/poojavnar,1
Dear all review readers I highly recommend you that,https://www.mouthshut.com/gzpmasoomashu,1
I have invested 3 lakhs now over the span of 6 years and wish to break my account and get my money back since I really think that their whole service is a scam . You can never reach their customer service number and there are thousands of reviews stating they haven’t got their money properly back . The last time I called their agent through my bank I was convinced to keep my money since it was a bad idea taking it out and losing 30+ percent but now I feel it’s better to lose that money and invest someplace else and you will still make more money than keeping it with them . So sad that they are working on such a large scale and robbing people from their hard earned money with a fake promise of giving back more! I don’t Know how are they legally doing this,https://www.mouthshut.com/perpetual1992,1
"I was looking for a TERM Plan and out of many companies listed/advertised, I chose to go with Max Life Insurance.",https://www.mouthshut.com/deep_wadhwa83,1
I perched the policy in 2010 at the time of purchasing agent told me it is very beneficial but after 10 years I found it was market plan and was totally money wasted.. when I approached the branch met a advisor wh assumed me that he would flip into another policy I agreed and money would come from old policy which money wouldn't decrease from old one but now I find value is decreasing from old policy .. I am not sure it is right or wrong after 13 years long trust...but some where in my mind it comes that I am badly cheated ..... I don't know should I continue my policy in this company or not even branch advisors didn't give the right advice dont know should I trust for moe years ?,https://www.mouthshut.com/jansidu30,1
I found the customer service of Max life very pathetic for below reasons:,https://www.mouthshut.com/rojaisjaiswal,1
"The customer care service is the worst. They wont take calls, neither do they reply to emails. I had bought ULIP plan from this company. The started auto debiting money from my bank account without my consent. I tried to cancel this but they did not provide any service. Any other services also, they are not professionals.",https://www.mouthshut.com/rock_nats,1
This is the most horrible company ever.,https://www.mouthshut.com/mjmikemj,1
To get a payment first and not issue a policy and trying a some problem and worst costumers services,https://www.mouthshut.com/1993khu,1
"My brother recently(August 26th, 2022) passed away(heart attack). I will get death claim within 15 days. It's best experience to me. Total received amount 75 lakhs. He was taken term plan in 2018 October. Taken from Axis Bank through, when we are going for claim Axis Bank staff helping us dlot.we are visit only one time. Best experience and very good service.",https://www.mouthshut.com/srinivasmansani456,5
Waiting for almost a month to get my maturity amount. They keep telling me you will get in 1 or 2 days. Even after escalation nothing happened.,https://www.mouthshut.com/akhtarmnnit,1
I purchased the policy through adviser of the sector 15 Gurgaon they told me that I will get double money but i did not even my premium back while surrendered the policy and staff threaten me that if will share this information to any body. Please don't invest in money. If someone can help me then please help me.,https://www.mouthshut.com/Priyarao26,1
"Never opt for max life, one of the worst team and they are good in giving wrong plans and suggest wrong information, if you cancelled the policy they says, they don't give your money back, it's better to cancel the policy and donate the money of investment to them as they love only customer money and with worst inexperienced team members . I don't have assurance that this investec money after 7 years, they will give to us Or not, hence to prevent the disturbance and nuisance from max life I decide to cancel policy, when doing policy they said you can cancel at anytime, now at tome of cancellation to avoid nuisance from these worst team of inexperienced pple, when I cancelled a guy called and he saying you will get zero amount and all money will go to company, I said I will think as I given my money to begging agency Max life insurance in order to avoid further investment to wrong team, enjoy Max life as u begging our money I throwing. Policy number : 372861435.",https://www.mouthshut.com/chaitanyaphyto,1
